SAMPLEID,PLOTID,geometry,centroid,long,lat
382419033,382419033,"POLYGON ((34.92734785204724 -15.949005212449288, 34.92734785204724 -15.948105498764132, 34.92827761835947 -15.948105498764132, 34.92827761835947 -15.949005212449288, 34.92734785204724 -15.949005212449288))",POINT (34.92781273520336 -15.948555341745958),34.92781273520336,-15.948555341745958
382537174,382537174,"POLYGON ((35.11735669005222 -15.59939046248669, 35.11735669005222 -15.598490748801527, 35.11828485514482 -15.598490748801527, 35.11828485514482 -15.59939046248669, 35.11735669005222 -15.59939046248669))",POINT (35.11782077259851 -15.598940591921938),35.11782077259851,-15.598940591921938
381690796,381690796,"POLYGON ((34.74700857197256 -15.33507795733336, 34.74700857197256 -15.33417824364819, 34.74793555305928 -15.33417824364819, 34.74793555305928 -15.33507795733336, 34.74700857197256 -15.33507795733336))",POINT (34.74747206251591 -15.334628086879382),34.74747206251591,-15.334628086879382
381625180,381625180,"POLYGON ((34.70191673566208 -15.360499572669337, 34.70191673566208 -15.359599858984168, 34.702843829638105 -15.359599858984168, 34.702843829638105 -15.360499572669337, 34.70191673566208 -15.360499572669337))",POINT (34.70238028265009 -15.360049702204508),34.70238028265009,-15.360049702204508
381585803,381585803,"POLYGON ((34.649748724097904 -15.446004418804828, 34.649748724097904 -15.445104705119665, 34.65067619931587 -15.445104705119665, 34.65067619931587 -15.446004418804828, 34.649748724097904 -15.446004418804828))",POINT (34.65021246170688 -15.44555454830375),34.65021246170688,-15.44555454830375
381454574,381454574,"POLYGON ((34.56612158314601 -15.47830861924244, 34.56612158314601 -15.477408905557278, 34.567049203018705 -15.477408905557278, 34.567049203018705 -15.47830861924244, 34.56612158314601 -15.47830861924244))",POINT (34.56658539308235 -15.47785874872778),34.56658539308235,-15.47785874872778
381585826,381585826,"POLYGON ((34.72563925421793 -15.233395844771751, 34.72563925421793 -15.232496131086574, 34.726565785864686 -15.232496131086574, 34.726565785864686 -15.233395844771751, 34.72563925421793 -15.233395844771751))",POINT (34.7261025200413 -15.232945974361808),34.7261025200413,-15.232945974361808
382268184,382268184,"POLYGON ((35.04424366521729 -15.39032647186378, 35.04424366521729 -15.38942675817861, 35.045170891912896 -15.38942675817861, 35.045170891912896 -15.39032647186378, 35.04424366521729 -15.39032647186378))",POINT (35.04470727856509 -15.38987660138623),35.04470727856509,-15.38987660138623
382504383,382504383,"POLYGON ((35.149249930393836 -15.459460123327956, 35.149249930393836 -15.458560409642786, 35.150177465823674 -15.458560409642786, 35.150177465823674 -15.459460123327956, 35.149249930393836 -15.459460123327956))",POINT (35.14971369810874 -15.45901025282123),35.14971369810874,-15.45901025282123
382563472,382563472,"POLYGON ((35.304515891233066 -15.113687817768366, 35.304515891233066 -15.112788104083188, 35.305441898058476 -15.112788104083188, 35.305441898058476 -15.113687817768366, 35.304515891233066 -15.113687817768366))",POINT (35.30497889464578 -15.113237947411243),35.30497889464578,-15.113237947411243
382944027,382944027,"POLYGON ((35.51589114169514 -15.106024732683958, 35.51589114169514 -15.105125018998782, 35.516817115082084 -15.105125018998782, 35.516817115082084 -15.106024732683958, 35.51589114169514 -15.106024732683958))",POINT (35.51635412838861 -15.105574862330258),35.51635412838861,-15.105574862330258
382635716,382635716,"POLYGON ((35.572702939505035 -14.465621764196998, 35.572702939505035 -14.464722050511808, 35.573626185194385 -14.464722050511808, 35.573626185194385 -14.465621764196998, 35.572702939505035 -14.465621764196998))",POINT (35.5731645623497 -14.46517189414427),35.5731645623497,-14.46517189414427
382215757,382215757,"POLYGON ((35.22530456314126 -14.798798734074538, 35.22530456314126 -14.797899020389352, 35.226229211521506 -14.797899020389352, 35.226229211521506 -14.798798734074538, 35.22530456314126 -14.798798734074538))",POINT (35.22576688733138 -14.798348863861408),35.22576688733138,-14.798348863861408
382307646,382307646,"POLYGON ((35.37416989738566 -14.519324860264462, 35.37416989738566 -14.518425146579268, 35.37509336676957 -14.518425146579268, 35.37509336676957 -14.519324860264462, 35.37416989738566 -14.519324860264462))",POINT (35.374631632077616 -14.518874990185319),35.374631632077616,-14.518874990185319
381559661,381559661,"POLYGON ((34.971427691414874 -14.499291205565099, 34.971427691414874 -14.498391491879909, 34.97235107724316 -14.498391491879909, 34.97235107724316 -14.499291205565099, 34.971427691414874 -14.499291205565099))",POINT (34.97188938432902 -14.498841335495761),34.97188938432902,-14.498841335495761
381808958,381808958,"POLYGON ((35.00463919786227 -14.792233893605685, 35.00463919786227 -14.791334179920499, 35.00556381826097 -14.791334179920499, 35.00556381826097 -14.792233893605685, 35.00463919786227 -14.792233893605685))",POINT (35.00510150806162 -14.791784023395628),35.00510150806162,-14.791784023395628
381703971,381703971,"POLYGON ((34.92744329964236 -14.847689248782338, 34.92744329964236 -14.846789535097159, 34.928368156845686 -14.846789535097159, 34.928368156845686 -14.847689248782338, 34.92744329964236 -14.847689248782338))",POINT (34.92790572824403 -14.847239378546394),34.92790572824403,-14.847239378546394
381690868,381690868,"POLYGON ((34.98311004841974 -14.66995542866824, 34.98311004841974 -14.66905571498305, 34.98403415015249 -14.66905571498305, 34.98403415015249 -14.66995542866824, 34.98311004841974 -14.66995542866824))",POINT (34.983572099286114 -14.669505558516173),34.983572099286114,-14.669505558516173
381349653,381349653,"POLYGON ((34.70609437592295 -14.923866604830469, 34.70609437592295 -14.92296689114529, 34.707019560028954 -14.92296689114529, 34.707019560028954 -14.923866604830469, 34.70609437592295 -14.923866604830469))",POINT (34.706556967975956 -14.923416734559256),34.706556967975956,-14.923416734559256
381034748,381034748,"POLYGON ((34.65438287241488 -14.582250623509578, 34.65438287241488 -14.581350909824387, 34.655306605080135 -14.581350909824387, 34.655306605080135 -14.582250623509578, 34.65438287241488 -14.582250623509578))",POINT (34.65484473874751 -14.58180075339976),34.65484473874751,-14.58180075339976
381113529,381113529,"POLYGON ((34.845344932401446 -14.162789375997873, 34.845344932401446 -14.16188966231267, 34.846266933847616 -14.16188966231267, 34.846266933847616 -14.162789375997873, 34.845344932401446 -14.162789375997873))",POINT (34.84580593312453 -14.162339506098048),34.84580593312453,-14.162339506098048
381730296,381730296,"POLYGON ((35.20023621101517 -14.114132053395297, 35.20023621101517 -14.113232339710095, 35.20115801525609 -14.113232339710095, 35.20115801525609 -14.114132053395297, 35.20023621101517 -14.114132053395297))",POINT (35.20069711313563 -14.113682183520663),35.20069711313563,-14.113682183520663
381349782,381349782,"POLYGON ((35.124658336906045 -13.734435004343121, 35.124658336906045 -13.733535290657912, 35.125578627920724 -13.733535290657912, 35.125578627920724 -13.734435004343121, 35.124658336906045 -13.734435004343121))",POINT (35.125118482413384 -13.733985134671133),35.125118482413384,-13.733985134671133
380890513,380890513,"POLYGON ((34.93966523958497 -13.543672083415261, 34.93966523958497 -13.542772369730047, 34.94058478744032 -13.542772369730047, 34.94058478744032 -13.543672083415261, 34.93966523958497 -13.543672083415261))",POINT (34.94012501351264 -13.543222213849031),34.94012501351264,-13.543222213849031
376317714,376317714,"POLYGON ((33.72878616255812 -9.701143393633442, 33.72878616255812 -9.700243679948134, 33.72969310907428 -9.700243679948134, 33.72969310907428 -9.701143393633442, 33.72878616255812 -9.701143393633442))",POINT (33.7292396358162 -9.70069352674058),33.7292396358162,-9.70069352674058
376370198,376370198,"POLYGON ((33.74014218649966 -9.75511707340744, 33.74014218649966 -9.75421735972213, 33.741049279491094 -9.75421735972213, 33.741049279491094 -9.75511707340744, 33.74014218649966 -9.75511707340744))",POINT (33.740595732995374 -9.754667206470224),33.740595732995374,-9.754667206470224
376435808,376435808,"POLYGON ((33.766794334998934 -9.78436696176466, 33.766794334998934 -9.78346724807935, 33.76770150772566 -9.78346724807935, 33.76770150772566 -9.78436696176466, 33.766794334998934 -9.78436696176466))",POINT (33.76724792136229 -9.783917094803517),33.76724792136229,-9.783917094803517
376475169,376475169,"POLYGON ((33.76863343457204 -9.845142195423653, 33.76863343457204 -9.844242481738345, 33.76954077377334 -9.844242481738345, 33.76954077377334 -9.845142195423653, 33.76863343457204 -9.845142195423653))",POINT (33.76908710417269 -9.844692328412954),33.76908710417269,-9.844692328412954
376481714,376481714,"POLYGON ((33.72314056543549 -9.994935395484429, 33.72314056543549 -9.994035681799128, 33.72404831957151 -9.994035681799128, 33.72404831957151 -9.994935395484429, 33.72314056543549 -9.994935395484429))",POINT (33.723594442503504 -9.994485528352493),33.723594442503504,-9.994485528352493
376278318,376278318,"POLYGON ((33.62383372625752 -9.955445340155794, 33.62383372625752 -9.95454562647049, 33.624741370365065 -9.95454562647049, 33.624741370365065 -9.955445340155794, 33.62383372625752 -9.955445340155794))",POINT (33.624287548311294 -9.954995473055682),33.624287548311294,-9.954995473055682
376389852,376389852,"POLYGON ((33.66283677078974 -10.024202234178562, 33.66283677078974 -10.023302520493257, 33.66374460676547 -10.023302520493257, 33.66374460676547 -10.024202234178562, 33.66283677078974 -10.024202234178562))",POINT (33.66329068877761 -10.023752367023095),33.66329068877761,-10.023752367023095
